gene	32170378_EXO_S26	32161454_EXO_S20	32160526_EXO_S15	32152086_EXO_S7	32151130_EXO_S2	32151185_EXO_S4	32170440_EXO_S27	32152175_EXO_S9	32152337_EXO_S10	32151033_EXO_S1	32170273_EXO_S23	181023-190319_Brain_S29	32152088_EXO_S8	32151825_EXO_S6	32151151_EXO_S3	32170329_EXO_S24	32170337_EXO_S25	32160079_EXO_S13	32152347_EXO_S11	32160791_EXO_S16	32161000_EXO_S17	32160288_EXO_S14	32170032_EXO_S21	32170447_EXO_S28	32160018_EXO_S12	32170073_EXO_S22	32161249_EXO_S19	32151764_EXO_S5	32161037_EXO_S18
hsa-miR-1224-5p	1.1479777797420954	0.48883190195205245	16.844658558771012	0.0	0.8781890337022606	3.3436037695788894	0.0	0.0	18.214009588105874	1.0792242320375267	0.0	17.705111707183203	0.3635010090788012	0.0	0.421027458568793	0.0	0.0	1.9912544106285197	0.0	7.493078268949058	0.0	0.0	0.0	0.0	0.0	0.30802383611653406	0.47779107629606804	1.1708134929230178	0.0
hsa-miR-373-5p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.6771324698688743	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-3675-3p	78.06248902246249	0.0	1229.660074790284	1.7086715079026056	64.98598849396728	33.4360376957889	7.980138120230586	21.77881025470837	0.0	0.0	38.353550194581544	0.0	0.0	97.48277804254583	21.893427845577236	6.352309550286377	7.4897686355997415	79.65017642514078	200.78493524016557	0.0	23.774051415348527	8.549935255615278	15.813705512657743	1.2755243042652684	158.8962736084248	0.30802383611653406	25.800718119987675	0.0	831.7597338368852
hsa-miR-500a-5p	13.775733356905144	13.687293254657469	0.0	0.0	0.0	66.45412492038042	24.624426199568664	24.630797311872563	16.172784375645733	0.0	17.20533092841041	1.226328083614421	4.362012108945614	7.385058942617108	23.9985651384212	12.704619100572755	10.145232060948741	0.0	1.3385662349344372	0.0	39.157261154691696	37.940337696792795	0.0	11.692306122431626	0.0	9.394727001554289	0.0	12.878948422153197	0.0
hsa-miR-1179	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.130270417988946	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-659-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.1077513937122863	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.746539134474529	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-4434	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.578494254238273	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-5699-5p	0.0	0.0	0.0	0.0	0.0	0.8359009423947223	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-1909-5p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.4799928064023
hsa-miR-4431	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.31403464807079096	0.5396121160187634	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4251747680884228	0.0	0.0	0.47779107629606804	0.0	0.0
